"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","DocumentUrl","DOI"
"September 25, 1992 (Page 20 of 72)","","","(Page 20 of 72)","Historical Newspapers","","","","1992-09-25","Sep 25, 1992","20","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2713012907?accountid=10792&bdid=57410&_bd=W%2B%2BDms8KMHZWv5wFDRDENDUi4Jw%3D",""
"Donald Dewar's dust-dry prose tops the nation's bestseller list","","Donegan, Lawrence","The Guardian (1959-2003)","Historical Newspapers","","","","1997-08-07","Aug 7, 1997","5","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/188017551?accountid=10792&bdid=57410&_bd=dpA7%2BaZgxAnrOJUZipFPlQHnpjY%3D",""
"June 19, 1963 (Page 6 of 32)","","","(Page 6 of 32)","Historical Newspapers","","","","1963-06-19","Jun 19, 1963","6","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712311587?accountid=10792&bdid=57410&_bd=mkCsFD%2BzqglYMRifInSBWV9Fb%2Fs%3D",""
"June 25, 1963 (Page 6 of 24)","","","(Page 6 of 24)","Historical Newspapers","","","","1963-06-25","Jun 25, 1963","6","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712246722?accountid=10792&bdid=57410&_bd=IYt6fwwMlqLTVS7I%2FFHSUxfV4rA%3D",""
"June 22, 1966 (Page 6 of 32)","","","(Page 6 of 32)","Historical Newspapers","","","","1966-06-22","Jun 22, 1966","6","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712430822?accountid=10792&bdid=57410&_bd=fXD8zNb%2BSUB0mP411FUF4C1wImg%3D",""
"Use both sides of the blanket, er. paper","How do you score on mistresses and morals? The Guardian unveils a GCSE paper on family values. But please, no cheating . . .","Barfield, Mike","The Guardian (1959-2003)","Historical Newspapers","","","","1994-01-07","Jan 7, 1994","18","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187574735?accountid=10792&bdid=57410&_bd=cjRglqy41j4I3gxlo096TkiSo10%3D",""
"June 3, 1987 (Page 5 of 52)","","","(Page 5 of 52)","Historical Newspapers","","","","1987-06-03","Jun 3, 1987","5","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712912640?accountid=10792&bdid=57410&_bd=CTtsdJtWifP1IbTlrMud2l6v%2Fx4%3D",""
"In pursuit of memories of things past","Commentary","Aitken, Ian","The Guardian (1959-2003)","Historical Newspapers","","","","1988-10-17","Oct 17, 1988","23","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187015349?accountid=10792&bdid=57410&_bd=j4fIdk%2BICiK1mjb4f4uBxeSm4bY%3D",""
"April 27, 1989 (Page 36 of 64)","","","(Page 36 of 64)","Historical Newspapers","","","","1989-04-27","Apr 27, 1989","36","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712993497?accountid=10792&bdid=57410&_bd=LKTZnD4ApIvqoc5sj7q6n5ZiFIQ%3D",""
"Delaying the day of execution","Political Diary","Arnold-Forster, Mark","The Observer (1901- 2003)","Historical Newspapers","","","","1963-06-16","Jun 16, 1963","11","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/475685619?accountid=10792&bdid=57410&_bd=%2B2tQLdDe5gqvmq%2BEN7VpWsX%2FrrM%3D",""
"Self-interest and miracles","","Ingrams, Richard","The Observer (1901- 2003)","Historical Newspapers","","","","1994-01-02","Jan 2, 1994","22","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/477594443?accountid=10792&bdid=57410&_bd=dfNzn%2FajMYlwLDd4vI2H2Rz9jU8%3D",""
"July 6, 1963 (Page 1 of 16)","","","(Page 1 of 16)","Historical Newspapers","","","","1963-07-06","Jul 6, 1963","1","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712239767?accountid=10792&bdid=57410&_bd=YntWyXIXzhPpSiT8BpIahYji0ko%3D",""
"April 13, 2004 (Page 137 of 160)","","","(Page 137 of 160)","Historical Newspapers","","","","2004-04-13","Apr 13, 2004","137","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2713739385?accountid=10792&bdid=57410&_bd=%2FDiJfaZ%2FCppYsBXScUvtVvq%2Bllw%3D",""
"'Rab' on his disappointments","'I would not force myself on the party...'","FRANCIS BOYD our Political Correspondent","The Guardian (1959-2003)","Historical Newspapers","","","","1966-07-26","Jul 26, 1966","3","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/185161870?accountid=10792&bdid=57410&_bd=6NYLCqjvnuBwLtqmcaYYLfv3RMY%3D",""
"DAVID ANDERSON'S STORY","Under hypnosis he revealed that he had been involved in an unofficial intelligence operation in Norway at the end of the war","","The Guardian (1959-2003)","Historical Newspapers","","","","1980-02-13","Feb 13, 1980","10","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186163901?accountid=10792&bdid=57410&_bd=%2FnTvmrfhjhStu6%2F2emdqVP6zB54%3D",""
"March 13, 1989 (Page 34 of 59)","","","(Page 34 of 59)","Historical Newspapers","","","","1989-03-13","Mar 13, 1989","34","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2713044852?accountid=10792&bdid=57410&_bd=E%2F1qNSQ1FRPwSawU8bjs%2FsxHlE4%3D",""
"The enemies of Macmillan","","","The Observer (1901- 2003)","Historical Newspapers","","","","1963-06-16","Jun 16, 1963","8","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/475694779?accountid=10792&bdid=57410&_bd=wDe3qRS4zD9XQ9T1hpJ6qwRNENE%3D",""
"CASHING IN ON CRIME","","Pendennis","The Observer (1901- 2003)","Historical Newspapers","","","","1966-04-24","Apr 24, 1966","40","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/475805839?accountid=10792&bdid=57410&_bd=FQfhEKYp4mO%2BtcOLHYWSxfG4Frw%3D",""
"February 14, 1996 (Page 11 of 76)","","","(Page 11 of 76)","Historical Newspapers","","","","1996-02-14","Feb 14, 1996","11","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2714084711?accountid=10792&bdid=57410&_bd=n5nAYEfWltQSBcjzPDK%2F3N8awIQ%3D",""
"Macmillan years","","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-10-11","Oct 11, 1963","15","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184885635?accountid=10792&bdid=57410&_bd=vEYiMg7N4mfwT2ruTuyNpksQ1j8%3D",""
"'KGB poison nearly killed Solzhenitsyn'","","Steele, Jonathan","The Guardian (1959-2003)","Historical Newspapers","","","","1992-04-20","Apr 20, 1992","1","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187264090?accountid=10792&bdid=57410&_bd=OZM77Nox58Nsi52khHJbZkymn98%3D",""
"No election this year, says Mr Macleod","Mr Macmillan parries questions on Denning","FRANCIS BOYD our Political Correspondent","The Guardian (1959-2003)","Historical Newspapers","","","","1963-09-27","Sep 27, 1963","1","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/185043966?accountid=10792&bdid=57410&_bd=CL2Ge%2BYUO4vf59F1jg72UOdPQeI%3D",""
"Cliveden","","Boyd, Francis","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-25","Jun 25, 1963","16","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184966968?accountid=10792&bdid=57410&_bd=V%2FQCS%2BlQFYG2e%2BL04lg1ZMhmWl0%3D",""
"March 9, 1989 (Page 36 of 64)","","","(Page 36 of 64)","Historical Newspapers","","","","1989-03-09","Mar 9, 1989","36","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712923317?accountid=10792&bdid=57410&_bd=7lYVJHmdm9I05DPIAUm96FDCDz8%3D",""
"June 21, 1963 (Page 15 of 28)","","","(Page 15 of 28)","Historical Newspapers","","","","1963-06-21","Jun 21, 1963","15","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712274556?accountid=10792&bdid=57410&_bd=mtdvs9xDiB6haTkVahqd%2FY6vLLo%3D",""
"POINTS OF ORDER","","Aitken, Ian","The Guardian (1959-2003)","Historical Newspapers","","","","1987-01-09","Jan 9, 1987","10","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186693041?accountid=10792&bdid=57410&_bd=o7WT3gjGLibS8alEGamIRFf43%2B8%3D",""
"Pick of the day","Fims","Howlett, Paul","The Guardian (1959-2003)","Historical Newspapers","","","","2003-01-20","Jan 20, 2003","B21","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/188987020?accountid=10792&bdid=57410&_bd=AAExOWY%2FgEz%2BDF7YFeaA8HF74xo%3D",""
"Another year of Mac is on the cards","","Sampson, Anthony","The Observer (1901- 2003)","Historical Newspapers","","","","1963-09-22","Sep 22, 1963","11","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/475679849?accountid=10792&bdid=57410&_bd=6zFwOBQoRIo2tpF2BNhxiA%2BIqJ0%3D",""
"February 15, 2012 (Page 12)","","","(Page 12)","Historical Newspapers","","","","2012-02-15","Feb 15, 2012","12","","","2041-4404","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2745017844?accountid=10792&bdid=57410&_bd=crdu0mzH616CZM5Tl8pU1YYhUlI%3D",""
"Denning has the key--not Stratford","","Sampson, Anthony","The Observer (1901- 2003)","Historical Newspapers","","","","1963-08-18","Aug 18, 1963","3","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/475717422?accountid=10792&bdid=57410&_bd=SbBe6sf%2B%2Fl3WNZOnZJx%2FMC6ud34%3D",""
"March 16, 1989 (Page 36 of 64)","","","(Page 36 of 64)","Historical Newspapers","","","","1989-03-16","Mar 16, 1989","36","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712997995?accountid=10792&bdid=57410&_bd=XntsJ%2FrpPhi%2BHVK17hBZqhkwDsU%3D",""
"September 10, 1979 (Page 5 of 44)","","","(Page 5 of 44)","Historical Newspapers","","","","1979-09-10","Sep 10, 1979","5","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712764155?accountid=10792&bdid=57410&_bd=xyP%2F%2F4J4O70fOrEM37d1uKHixvs%3D",""
"April 19, 1989 (Page 39 of 56)","","","(Page 39 of 56)","Historical Newspapers","","","","1989-04-19","Apr 19, 1989","39","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712945375?accountid=10792&bdid=57410&_bd=JXS0TTFnCDRSrrCYKh%2Bxyn0kLbM%3D",""
"May 9, 1989 (Page 37 of 56)","","","(Page 37 of 56)","Historical Newspapers","","","","1989-05-09","May 9, 1989","37","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712951932?accountid=10792&bdid=57410&_bd=woT%2Fu2M3MTkp7ovjXTjguNb1eTQ%3D",""
"May 15, 1987 (Page 6 of 60)","","","(Page 6 of 60)","Historical Newspapers","","","","1987-05-15","May 15, 1987","6","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712943346?accountid=10792&bdid=57410&_bd=pisHY55YUu%2BD7dKTrfNTMx3qTcY%3D",""
"From rock star to great train robber","Genesis star Phil Collins has stashed his drumsticks to play Buster Edwards in the film life of the villain who swapped mailbags for Mexico and flowers in the rain.","Pulleine, Tim","The Guardian (1959-2003)","Historical Newspapers","","","","1988-01-05","Jan 5, 1988","11","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186849942?accountid=10792&bdid=57410&_bd=96VFTcR%2B2D1TGXyVuBKCuNim36s%3D",""
"Whose finger on the mike?","","Michael, Cockerel l","The Guardian (1959-2003)","Historical Newspapers","","","","1995-03-27","Mar 27, 1995","18","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187731940?accountid=10792&bdid=57410&_bd=Rpj5xQe6Y%2F1llUGInW34HYCYw5M%3D",""
"July 2, 1963 (Page 6 of 24)","","","(Page 6 of 24)","Historical Newspapers","","","","1963-07-02","Jul 2, 1963","6","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712272825?accountid=10792&bdid=57410&_bd=zQOLn6A4rmLdYdUqP2%2BuBQIO1wM%3D",""
"Libel and free speech","","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-20","Jun 20, 1963","8","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184921231?accountid=10792&bdid=57410&_bd=EczrcnkLV0%2BVQO%2Byy69QTPpsRrY%3D",""
"Bosphorescence","","Barnes, Hugh","The Observer (1901- 2003)","Historical Newspapers","","","","1988-05-01","May 1, 1988","43","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/477169130?accountid=10792&bdid=57410&_bd=a2EVeLJdntQdV8qHW3FAQjgYzz8%3D",""
"May 23, 1989 (Page 39 of 60)","","","(Page 39 of 60)","Historical Newspapers","","","","1989-05-23","May 23, 1989","39","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2713006025?accountid=10792&bdid=57410&_bd=3R%2FlhSCJps1tLSheHNagX8e3MnA%3D",""
"March 31, 1989 (Page 37 of 64)","","","(Page 37 of 64)","Historical Newspapers","","","","1989-03-31","Mar 31, 1989","37","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2713046048?accountid=10792&bdid=57410&_bd=vUEilvQH9nqG7dra5ZSDJEUxyLc%3D",""
"Tories in turmoil over 'basics'","","Michael White Political Editor","The Guardian (1959-2003)","Historical Newspapers","","","","1994-01-11","Jan 11, 1994","1","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187462674?accountid=10792&bdid=57410&_bd=5LZHA4ET4NXHNQZLs5pldsm9TR8%3D",""
"THE PHOTOGRAPHER, HIS CHAIR, THAT IMAGE AND THE COPYCATS","","","The Observer (1901- 2003)","Historical Newspapers","","","","2001-02-18","Feb 18, 2001","D2","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/478213174?accountid=10792&bdid=57410&_bd=YJqQ2ihOE%2FqHbHViA66s0iFCVkA%3D",""
"SPYCATCHERS WHO DABBLED IN TREASON","","Leigh, David","The Observer (1901- 2003)","Historical Newspapers","","","","1988-10-16","Oct 16, 1988","33","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/477196014?accountid=10792&bdid=57410&_bd=cJHGB2ZFCsZR5pQswm7sIglbkiU%3D",""
"The judged adn the jury . . . five recent case histories in which public interest has been invoked to justify invasion of privacy","","","The Guardian (1959-2003)","Historical Newspapers","","","","1992-06-15","Jun 15, 1992","25","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187310017?accountid=10792&bdid=57410&_bd=mk7UxQiLjf2rTk%2BCyXc4rbNd1Vk%3D",""
"`Facts, not moral judgments","","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-24","Jun 24, 1963","2","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184967749?accountid=10792&bdid=57410&_bd=LTCVaEzpff8VgtVVdByKEaCm4sA%3D",""
"June 11, 1963 (Page 7 of 28)","","","(Page 7 of 28)","Historical Newspapers","","","","1963-06-11","Jun 11, 1963","7","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712301235?accountid=10792&bdid=57410&_bd=6DEIbfSuBzVKSgBfy31BT989UAs%3D",""
"The economy that went from the Red to the black","COMMENTARY","Walker, Martin","The Guardian (1959-2003)","Historical Newspapers","","","","1986-08-06","Aug 6, 1986","21","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186764664?accountid=10792&bdid=57410&_bd=hkDaJ%2Buqw3tVD%2FEeVub3UqR%2BMxc%3D",""
"PAPERBACKS","","Hamilton, Alex","The Guardian (1959-2003)","Historical Newspapers","","","","1987-07-31","Jul 31, 1987","12","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186760463?accountid=10792&bdid=57410&_bd=COcdfErQ8ocyK3bbPOFNvJ4OJ5I%3D",""
"June 12, 1962 (Page 6 of 24)","","","(Page 6 of 24)","Historical Newspapers","","","","1962-06-12","Jun 12, 1962","6","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712300541?accountid=10792&bdid=57410&_bd=Iy7vsyGQKCpj6fN3JDgWMHznoO8%3D",""
"September 10, 1963 (Page 6 of 24)","","","(Page 6 of 24)","Historical Newspapers","","","","1963-09-10","Sep 10, 1963","6","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712325387?accountid=10792&bdid=57410&_bd=o52pnmL72XYZrHcOe3W9%2F8Eun5w%3D",""
"Peak of crisis over, says Lord Poole","","","The Guardian (1959-2003)","Historical Newspapers","","","","1963-06-24","Jun 24, 1963","2","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/184967108?accountid=10792&bdid=57410&_bd=YD277Yx67oFasd3d73O10q291xg%3D",""
"Jeremy Thorpe's fatal mistake","POLITICAL DIARY","Watkins, Alan","The Observer (1901- 2003)","Historical Newspapers","","","","1976-05-16","May 16, 1976","14","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/476323767?accountid=10792&bdid=57410&_bd=l3EGKajnlCFyMXrrBHfmGvgvm2k%3D",""
"January 24, 1990 (Page 2 of 59)","","","(Page 2 of 59)","Historical Newspapers","","","","1990-01-24","Jan 24, 1990","2","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2713048174?accountid=10792&bdid=57410&_bd=GkvNjLwf%2BsE6s7jhWEMnF3V%2BgpI%3D",""
"Thursday","","","The Observer (1901- 2003)","Historical Newspapers","","","","1992-04-05","Apr 5, 1992","72","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/477472876?accountid=10792&bdid=57410&_bd=Wank09d%2F8LzG%2F3tf7gS8CLLx69s%3D",""
"May 15, 1989 (Page 36 of 63)","","","(Page 36 of 63)","Historical Newspapers","","","","1989-05-15","May 15, 1989","36","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2713074941?accountid=10792&bdid=57410&_bd=PlaXqbC3IYbqETXPiJWBsl%2Bff%2FE%3D",""
"October 8, 1963 (Page 17 of 32)","","","(Page 17 of 32)","Historical Newspapers","","","","1963-10-08","Oct 8, 1963","17","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712274104?accountid=10792&bdid=57410&_bd=ZZNqdic4Ai7y2PlKkgWL2NeEfpI%3D",""
"June 28, 1983 (Page 18 of 39)","","","(Page 18 of 39)","Historical Newspapers","","","","1983-06-28","Jun 28, 1983","18","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712817679?accountid=10792&bdid=57410&_bd=cKMy2%2BP1lIobLuSpTYhSxbxFL6A%3D",""
"May 11, 1989 (Page 36 of 64)","","","(Page 36 of 64)","Historical Newspapers","","","","1989-05-11","May 11, 1989","36","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2713044772?accountid=10792&bdid=57410&_bd=I9SxslSRRf0pJGhLoLJOJNXdTaM%3D",""
"When the shooting has to stop","","","The Observer (1901- 2003)","Historical Newspapers","","","","1994-08-28","Aug 28, 1994","C5","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/477648210?accountid=10792&bdid=57410&_bd=S3BNBP1DxSJqiIMEFo1fNM7rFjg%3D",""
"Sir Alec's new men shake down","","","The Observer (1901- 2003)","Historical Newspapers","","","","1963-10-27","Oct 27, 1963","9","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/475701838?accountid=10792&bdid=57410&_bd=IlrAgW%2B7t0mJUvfTGSQLF3qGvzU%3D",""
"April 26, 1971 (Page 43 of 43)","","","(Page 43 of 43)","Historical Newspapers","","","","1971-04-26","Apr 26, 1971","43","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712419071?accountid=10792&bdid=57410&_bd=3DWlA1mqg6C5HV19FumqrNFBnRU%3D",""
"A ministering angel","","Muggeridge, Malcolm; Chesney, Kellow","The Observer (1901- 2003)","Historical Newspapers","","","","1969-12-21","Dec 21, 1969","5A","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/475936666?accountid=10792&bdid=57410&_bd=66z9BcMmJ2E1%2Bez5BRXzXiAVRGc%3D",""
"July 23, 1963 (Page 20 of 20)","","","(Page 20 of 20)","Historical Newspapers","","","","1963-07-23","Jul 23, 1963","20","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712300116?accountid=10792&bdid=57410&_bd=CCHZC6HD5yHVoDFY4wcHDpCmpEQ%3D",""
"Article 3 -- No Title","","","The Observer (1901- 2003)","Historical Newspapers","","","","1995-12-10","Dec 10, 1995","D12_D13","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/477776695?accountid=10792&bdid=57410&_bd=y96BIaFlhvovtvVrOsLqBYR0oUk%3D",""
"March 8, 1989 (Page 39 of 60)","","","(Page 39 of 60)","Historical Newspapers","","","","1989-03-08","Mar 8, 1989","39","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2713074821?accountid=10792&bdid=57410&_bd=bFkO5OuEBQVP6F%2F67Bvatgrlqes%3D",""
"August 20, 1963 (Page 9 of 20)","","","(Page 9 of 20)","Historical Newspapers","","","","1963-08-20","Aug 20, 1963","9","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712325810?accountid=10792&bdid=57410&_bd=oOz0hJXc0GsjbjXwdUwnJ1MxDHc%3D",""
"John Vassall, once Britain's most notorious spy, dies a secret death","","Norton-Taylor, Richard","The Guardian (1959-2003)","Historical Newspapers","","","","1996-12-06","Dec 6, 1996","3","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187797539?accountid=10792&bdid=57410&_bd=b8dJcP7fmgDyAx2voulKgNC5iAc%3D",""
"February 23, 2006 (Page 9)","","","(Page 9)","Historical Newspapers","","","","2006-02-23","Feb 23, 2006","9","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2739108003?accountid=10792&bdid=57410&_bd=C%2BTDM%2BMBVobDOc7SqLgW0zbfe4s%3D",""
"December 23, 2019 (Page 26)","","","(Page 26)","Historical Newspapers","","","","2019-12-23","Dec 23, 2019","26","","","2516-6468","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2744963877?accountid=10792&bdid=57410&_bd=xzR56bGleO5TKqifnlfzFF0fabo%3D",""
"November 2, 2005 (Page 41)","","","(Page 41)","Historical Newspapers","","","","2005-11-02","Nov 2, 2005","41","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2739132176?accountid=10792&bdid=57410&_bd=%2BgEwzNbZyjxIAfi%2BUfDMrc2lGXw%3D",""
"Cosmic harm of a little bit of fun","","White, Michael","The Guardian (1959-2003)","Historical Newspapers","","","","1992-07-25","Jul 25, 1992","23","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187407520?accountid=10792&bdid=57410&_bd=KDmH0HWPswx4ytVXs0EdjdmGtY4%3D",""
"Anger at plan to build on Cliveden grounds","","Hetherington, Peter","The Guardian (1959-2003)","Historical Newspapers","","","","2003-10-10","Oct 10, 2003","14","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/189175973?accountid=10792&bdid=57410&_bd=RXOS5IlEIOBczUWy1j0AZcPlSLw%3D",""
"Make him Jonathan the Obscure","Only by the media ignoring him can we hop to see the back of the noison","Ingrams, Richard","The Observer (1901- 2003)","Historical Newspapers","","","","2000-04-09","Apr 9, 2000","32","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/478138180?accountid=10792&bdid=57410&_bd=93c8eN13joyd1M5nLJ4quiHh6G4%3D",""
"LORD POOLE","","","The Observer (1901- 2003)","Historical Newspapers","","","","1963-10-06","Oct 6, 1963","12","","","00297712","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/475698948?accountid=10792&bdid=57410&_bd=QZvTZNdoivTR9kmStKYcljIUgp0%3D",""
"December 20, 2013 (Page 18)","","","(Page 18)","Historical Newspapers","","","","2013-12-20","Dec 20, 2013","18","","","2041-4404","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2745071648?accountid=10792&bdid=57410&_bd=EbYkCoa1TncL7PRHLCGWg%2FTl%2BT8%3D",""
"March 29, 1989 (Page 34 of 51)","","","(Page 34 of 51)","Historical Newspapers","","","","1989-03-29","Mar 29, 1989","34","","","1472-5215","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/2712948197?accountid=10792&bdid=57410&_bd=1Eq89Sk5i2BpkigZ8QxKrUwVQVU%3D",""
"Sanction of the House","The Commons today debates Rhodesia. JOHN GRIFFITH argues that if the House is to regain its ancient responsibility for the making and execution of policy, it should not shirk its duty on the issue of sanctions busting","","The Guardian (1959-2003)","Historical Newspapers","","","","1978-11-07","Nov 7, 1978","12","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/186138652?accountid=10792&bdid=57410&_bd=BNH2GWfPTi2NNvvdI6lJc7nUUWo%3D",""
"Taking hostages in the domain of privacy","","Bennett, Catherine","The Guardian (1959-2003)","Historical Newspapers","","","","1992-09-09","Sep 9, 1992","17","","","02613077","","","ENG","https://uoelibrary.idm.oclc.org/login?url=https://www.proquest.com/docview/187289683?accountid=10792&bdid=57410&_bd=i1OM2g3EmCEgDOofv48Dfgwt7nQ%3D",""
